question,type,lemma,basiswoord1,basiswoord2
"Uit welke twee woorden is het volgende woord opgebouwd?",task,skegging,skirt,legging
"Uit welke twee woorden is het volgende woord opgebouwd?",task,smirten,smoke,flirten
"Uit welke twee woorden is het volgende woord opgebouwd?",task,smombie,smartphone,zombie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,speculyse,speculatief,analyse
"Uit welke twee woorden is het volgende woord opgebouwd?",task,stagflatie,stagnatie,inflatie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,straatsen,straat,schaatsen
"Uit welke twee woorden is het volgende woord opgebouwd?",task,tankini,tanktop,bikini
"Uit welke twee woorden is het volgende woord opgebouwd?",task,taugate,taugé,gate
"Uit welke twee woorden is het volgende woord opgebouwd?",task,teeuw,tijger,leeuw
"Uit welke twee woorden is het volgende woord opgebouwd?",task,trixit,Beatrix,exit
"Uit welke twee woorden is het volgende woord opgebouwd?",task,twandeling,Twitter,wandeling
"Uit welke twee woorden is het volgende woord opgebouwd?",task,twexcursie,Twitter,excursie
"Uit welke twee woorden is het volgende woord opgebouwd?",task,twexit,Twitter/tweet,exit
"Uit welke twee woorden is het volgende woord opgebouwd?",task,twitteratuur,twitteren/Twitter,literatuur
"Uit welke twee woorden is het volgende woord opgebouwd?",task,twittie,Twitter,"fittie 'ruzie'"
"Uit welke twee woorden is het volgende woord opgebouwd?",task,vagetariër,vaag,vegetariër
"Uit welke twee woorden is het volgende woord opgebouwd?",task,velostrade,velo,autostrade
"Uit welke twee woorden is het volgende woord opgebouwd?",task,voluntoerisme,voluntair,toerisme
"Uit welke twee woorden is het volgende woord opgebouwd?",task,vook,video,e-book
"Uit welke twee woorden is het volgende woord opgebouwd?",task,vrachtpatser,vracht,krachtpatser
"Uit welke twee woorden is het volgende woord opgebouwd?",task,webinar,web,seminar
"Uit welke twee woorden is het volgende woord opgebouwd?",task,wegpieteren,wegkwijnen,verpieteren
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zebradrempel,zebrapad,verkeersdrempel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zezel,zebra,ezel
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zikini,zipper,bikini
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zonsument,zon,consument
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zony,zebra,pony
"Uit welke twee woorden is het volgende woord opgebouwd?",task,zotel,zorg,hotel
